node	coverage	length
utig4-1405	9.27	20841
utig4-1406	1.66	24751
utig4-1407	1.00	7121
utig4-1408	6.11	31387
utig4-1409	6.76	1
utig4-1410	3.64	32138
utig4-1411	4.69	15461
utig4-1412	6.85	17287
utig4-1413	3.20	5007
utig4-1414	5.08	930
utig4-1415	4.10	24041
utig4-1416	1.81	10661
utig4-1417	1.75	5220
utig4-1418	2.71	7599
utig4-1419	2.30	7527
utig4-1420	1.92	6634
utig4-1421	2.54	13525
utig4-1422	1.00	7788
utig4-1423	1.00	6285
utig4-1425	1.41	9108
utig4-1426	5.27	40720
utig4-1427	3.85	3402
utig4-1428	3.95	4733
utig4-1429	2.36	34237
utig4-1431	3.44	12290
utig4-1432	2.70	8082
utig4-1433	2.88	26497
utig4-1434	5.20	6417
utig4-1435	23.05	18612
utig4-1436	1.98	22036
utig4-1437	19.63	189088
utig4-1438	3.00	5906
utig4-1439	33.06	20480
utig4-1440	15.40	16205
utig4-1441	32.70	52620553
utig4-1442	21.16	5696775
utig4-1443	18.77	9843
utig4-1444	30.00	1
utig4-1445	8.80	38146
utig4-1446	3.73	16110
utig4-1448	9.30	28879
utig4-1449	2.17	13504
utig4-1450	2.00	14764
utig4-1452	2.43	10385
utig4-1453	3.59	5590
utig4-1454	1.56	7938
utig4-1455	2.00	1887
utig4-1458	9.75	36744
utig4-1459	9.78	78341
utig4-1461	3.00	1
utig4-1462	7.74	26611
utig4-1463	4.14	27648
utig4-1464	3.19	41061
utig4-1465	4.90	10946
utig4-1466	33.06	33073862
utig4-1467	1.46	7105
utig4-1468	57.21	60468
utig4-1469	32.84	37057934
utig4-1470	23.81	690270
utig4-1471	3.50	13337
utig4-1473	2.17	23997
utig4-1474	2.00	8471
utig4-1475	23.59	623372
utig4-1476	32.05	72217545
utig4-1477	2.13	45445
utig4-1479	7.00	10773
utig4-1480	33.03	57019076
utig4-1481	11.00	21948
utig4-1482	25.37	7713992
utig4-1485	7.00	7107
utig4-1486	4.00	10943
utig4-1487	31.02	4566277
utig4-1488	2.00	1735
utig4-1489	8.80	7147
utig4-1490	7.91	1
utig4-1491	3.73	24775
utig4-1492	1.00	1827
utig4-1493	3.76	5913
utig4-1494	4.00	2218
utig4-1495	4.50	2587
utig4-1496	4.39	5166
utig4-1497	2.00	1869
utig4-1498	4.84	5040
utig4-1499	1.00	2490
utig4-1500	1.00	2245
utig4-1501	1.38	10108
utig4-1502	2.00	2468
utig4-1503	1.43	4976
utig4-1504	50.29	98228
utig4-1505	21.38	20184
utig4-1506	23.93	947228
utig4-1507	25.69	507737
utig4-1508	2.99	29049
utig4-1509	2.72	3089
utig4-1510	21.73	1794947
utig4-1511	4.25	5522
utig4-1512	2.00	2154
utig4-1513	2.30	3804
utig4-1514	2.05	5307
utig4-1515	2.33	2220
utig4-1516	3.53	5128
utig4-1517	1.64	2612
utig4-1518	3.46	5125
utig4-1519	5.00	2756
utig4-1520	2.00	2260
utig4-1521	1.92	6739
utig4-1522	5.00	3456
utig4-1523	2.00	1745
utig4-1524	3.66	10245
utig4-1525	3.17	3301
utig4-1526	1.75	2308
utig4-1527	7.74	6129
utig4-1528	5.00	1
utig4-1529	4.00	6403
utig4-1530	1.70	7528
utig4-1531	1.00	2504
utig4-1532	81.86	6991
utig4-1533	5.50	6954
utig4-1534	243.50	7173
utig4-1535	1.92	6745
utig4-1536	2.16	15269
utig4-1537	1.00	6702
utig4-1538	3.00	141
utig4-1539	1.00	7497
utig4-1540	3.00	2745
utig4-1541	2.10	4109
utig4-1542	3.14	2246
utig4-1543	5.50	3330
utig4-1544	2.31	6375
utig4-1545	2.35	7158
utig4-1546	2.00	9258
utig4-1547	6.33	3851
utig4-1548	2.00	1997
utig4-1549	2.78	3830
utig4-1550	11.00	3642
utig4-1551	1.00	2712
utig4-1553	2.50	12937
utig4-1554	1.00	5615
utig4-1555	1.00	3927
utig4-1556	2.75	2463
utig4-1557	2.25	3166
utig4-1559	1.00	2277
utig4-1560	1.30	5560
utig4-1561	2.12	1
utig4-1562	1.58	8422
utig4-1563	4.89	5605
utig4-1564	2.47	9769
utig4-1565	1.71	9513
utig4-1566	1.77	15810
utig4-1567	1.00	2802
utig4-1568	4.74	5214
utig4-1569	1.00	2775
utig4-1570	2.00	2087
utig4-1571	1.00	3343
utig4-1572	2.80	9153
utig4-1573	2.58	19975
utig4-1574	1.00	2874
utig4-1575	4.00	2316
utig4-1576	1.00	8487
utig4-1577	3.00	4431
utig4-1578	1.00	2576
utig4-1579	7.00	2730
utig4-1580	1.43	5502
utig4-1582	15.11	1
utig4-1583	14.68	54806
utig4-1584	2.37	10005
utig4-1585	244.50	11579
utig4-1586	4.50	3657
utig4-1587	11.00	3786
utig4-1588	248.00	1873
utig4-1589	237.33	2093
utig4-1590	4.00	2516
utig4-1591	2.50	3265
utig4-1592	8.00	3465
utig4-1593	3.00	6248
utig4-1594	10.62	4848
utig4-1595	26.51	7214152
utig4-1596	2.00	4226
utig4-1597	1.74	3188
utig4-1598	10.10	22727
utig4-1599	6.24	4986
utig4-1600	25.00	7567
utig4-1601	2.75	7566
utig4-1602	3.02	5792
utig4-1603	1.00	3441
utig4-1604	5.45	9094
utig4-1605	2.85	10172
utig4-1606	2.82	1
utig4-1607	1.80	3834
utig4-1608	2.54	10993
utig4-1609	2.91	16401
utig4-1610	3.20	25996
utig4-1611	1.00	3362
utig4-1612	3.50	9444
utig4-1613	1.00	3070
utig4-1614	2.69	5991
utig4-1615	1.72	8786
utig4-1616	1.00	2760
utig4-1617	1.00	3722
utig4-1618	5.10	11292
utig4-1619	3.06	3948
utig4-1620	1.00	4346
utig4-1621	1.00	2805
utig4-1622	1.00	2730
utig4-1623	2.62	5022
utig4-1624	1.58	6389
utig4-1625	1.00	2683
utig4-1626	2.54	4690
utig4-1627	1.00	3370
utig4-1628	1.00	3732
utig4-1629	2.00	4369
utig4-1630	3.07	34547
utig4-1631	4.00	2175
utig4-1632	1.66	13091
utig4-1633	1.72	3009
utig4-1634	1.85	4598
utig4-1635	1.46	5964
utig4-1636	1.53	7406
utig4-1637	3.00	1396
utig4-1638	6.00	2148
utig4-1639	1.88	3125
utig4-1640	1.81	3688
utig4-1641	4.50	1960
utig4-1642	2.36	3333
utig4-1643	2.77	3325
utig4-1644	4.00	2627
utig4-1645	4.47	2871
utig4-1646	1.00	3337
utig4-1648	1.00	4587
utig4-1649	1.00	4296
utig4-1650	3.00	2764
utig4-1651	1.81	3447
utig4-1652	4.25	3059
utig4-1654	2.35	13109
utig4-1655	1.42	7663
utig4-1656	11.33	3931
utig4-1657	3.00	12562
utig4-1659	3.33	6812
utig4-1660	2.41	3972
utig4-1661	1.00	6209
utig4-1662	1.50	4474
utig4-1663	1.80	2932
utig4-1664	1.00	2665
utig4-1665	2.00	2916
utig4-1666	1.00	3717
utig4-1667	2.00	2221
utig4-1669	6.33	18202
utig4-1670	4.72	7592
utig4-1671	1.00	3429
utig4-1672	2.97	3753
utig4-1673	2.00	2551
utig4-1674	18.63	1328446
utig4-1675	5.30	18248
utig4-1676	18.30	655854
utig4-1677	3.40	10270
utig4-1678	4.31	7527
utig4-1679	2.01	17004
utig4-1680	1.82	7019
utig4-1681	1.00	6331
utig4-1682	8.32	6622
utig4-1683	2.63	14500
utig4-1684	1.83	6299
utig4-1685	2.75	8958
utig4-1686	2.82	58632
utig4-1687	1.66	19898
utig4-1688	3.25	14355
utig4-1689	2.00	1804
utig4-1690	9.50	5214
utig4-1691	3.17	3457
utig4-1692	1.00	5151
utig4-1693	1.78	3867
utig4-1694	2.92	3184
utig4-1695	3.50	1852
utig4-1696	1.00	8040
utig4-1697	2.87	32
utig4-1698	4.06	8263
utig4-1699	2.83	2945
utig4-1700	2.37	4964
utig4-1701	2.75	2437
utig4-1702	4.50	3404
utig4-1703	1.36	5090
utig4-1704	1.93	18999
utig4-1705	2.40	12184
utig4-1706	4.50	4807
utig4-1707	3.50	7323
utig4-1708	1.00	5324
utig4-1709	2.54	6699
utig4-1710	1.00	6391
utig4-1711	3.68	3843
utig4-1712	1.00	3414
utig4-1713	1.74	3903
utig4-1714	2.00	21069
utig4-1715	1.63	5063
utig4-1716	2.00	2201
utig4-1717	1.73	8090
utig4-1718	15.00	5020
utig4-1719	1.00	3461
utig4-1720	3.78	4348
utig4-1721	2.45	4763
utig4-1722	2.89	3324
utig4-1723	3.98	8687
utig4-1724	1.59	16191
utig4-1725	2.63	22553
utig4-1726	2.48	8947
utig4-1727	3.91	18492
utig4-1728	1.85	3987
utig4-1729	2.00	5698
utig4-1730	1.00	4985
utig4-1731	6.76	10083
utig4-1732	21.24	1671624
utig4-1733	3.21	14393
utig4-1734	14.81	312541
utig4-1735	1.91	6341
utig4-1736	2.00	2786
utig4-1737	6.50	9184
utig4-1738	1.36	8525
utig4-1739	2.00	4241
utig4-1740	2.23	16490
utig4-1741	5.11	6436
utig4-1742	4.14	29743
utig4-1743	8.77	10237
utig4-1744	4.89	2736
utig4-1745	2.00	5763
utig4-1746	4.36	16882
utig4-1747	2.79	13097
utig4-1748	4.36	19751
utig4-1749	2.29	5429
utig4-1750	1.00	6507
utig4-1751	1.00	9367
utig4-1752	2.44	4472
utig4-1753	1.92	9493
utig4-1754	2.15	4356
utig4-1755	1.00	4467
utig4-1756	1.58	5983
utig4-1757	3.44	5458
utig4-1758	2.00	22587
utig4-1759	1.00	6344
utig4-1760	25.80	939203
utig4-1761	1.00	4166
utig4-1762	10.16	14085
utig4-1763	1.84	4565
utig4-1764	1.98	5505
utig4-1765	1.00	6673
utig4-1766	3.07	17164
utig4-1767	2.60	5517
utig4-1768	2.39	6903
utig4-1769	1.00	5235
utig4-1770	2.27	4926
utig4-1771	3.68	5577
utig4-1772	1.73	5764
utig4-1773	1.43	11913
utig4-1774	3.07	19712
utig4-1775	10.08	7251
utig4-1776	2.65	20497
utig4-1777	3.91	13701
utig4-1778	7.10	7226
utig4-1779	2.00	5032
utig4-1780	1.00	6227
utig4-1781	3.84	6214
utig4-1782	1.00	6890
utig4-1783	2.63	4563
utig4-1784	2.86	12357
utig4-1785	3.12	4334
utig4-1786	5.00	4980
utig4-1787	1.00	5257
utig4-1788	2.45	11243
utig4-1789	3.38	145
utig4-1790	5.07	6153
utig4-1791	3.41	5377
utig4-1792	1.86	4633
utig4-1793	1.00	4968
utig4-1794	3.29	5756
utig4-1795	2.00	5015
utig4-1796	1.00	9728
utig4-1797	4.62	11679
utig4-1798	2.80	26932
utig4-1799	1.93	10205
utig4-1800	3.31	7287
utig4-1801	32.90	60214410
utig4-1803	2.93	11499
utig4-1804	2.00	5924
utig4-1805	3.65	53194
utig4-1806	21.49	27292
utig4-1807	1.70	5609
utig4-1808	2.33	10213
utig4-1809	1.00	5528
utig4-1810	1.00	7249
utig4-1811	1.00	5192
utig4-1812	4.00	3282
utig4-1813	3.18	15676
utig4-1814	1.42	3619
utig4-1815	3.62	10394
utig4-1816	2.50	9251
utig4-1817	34.87	1
utig4-1818	2.94	26694
utig4-1819	2.66	19964
utig4-1820	2.44	23149
utig4-1821	4.29	29271
utig4-1822	2.07	38044
utig4-1823	28.42	17503
utig4-1824	2.39	49352
utig4-1825	3.51	8053
utig4-1826	3.33	37429
utig4-1827	2.72	19146
utig4-1828	2.16	23602
utig4-1829	1.00	8577
utig4-1830	31.97	8259
utig4-1831	5.80	7197
utig4-1832	2.90	7309
utig4-1833	2.59	4254
utig4-1834	2.13	31568
utig4-1835	2.00	6621
utig4-1836	2.84	24940
utig4-1837	1.00	4873
utig4-1838	4.19	13360
utig4-1839	33.00	4101
utig4-1840	2.56	28179
utig4-1841	4.29	3320
utig4-1842	2.40	5366
utig4-1843	3.00	2712
utig4-1844	3.00	2964
utig4-1845	10.50	3410
utig4-1846	18.75	2492105
utig4-1847	33.03	60483860
utig4-1848	1.00	5386
utig4-1849	3.20	3418
utig4-1850	2.07	15172
utig4-1851	6.75	6404
utig4-1852	2.02	8582
utig4-1853	1.00	4466
utig4-1854	3.49	4917
utig4-1855	1.00	5177
utig4-1856	19.30	3420886
utig4-1857	3.00	1819
utig4-1860	1.00	6695
utig4-1861	1.00	6323
utig4-1862	3.21	14518
utig4-1863	2.89	26116
utig4-1864	1.61	4990
utig4-1865	6.17	9370
utig4-1866	11.46	95086
utig4-1868	8.19	4827
utig4-1869	3.58	10019
utig4-1870	2.14	22780
utig4-1871	1.00	6361
utig4-1872	1.00	6201
utig4-1873	3.66	3867
utig4-1874	6.66	7768
utig4-1875	1.97	6304
utig4-1876	2.78	14025
utig4-1877	2.00	9040
utig4-1878	1.00	10011
utig4-1879	1.00	9998
utig4-1880	1.85	15701
utig4-1881	1.00	7549
utig4-1882	2.53	4898
utig4-1883	1.78	6616
utig4-1884	3.12	70753
utig4-1885	3.31	6162
utig4-1886	2.32	9713
utig4-1887	3.65	11151
utig4-1888	5.00	1
utig4-1889	2.52	21156
utig4-1890	1.00	8928
utig4-1891	1.00	5319
utig4-1892	1.00	7076
utig4-1893	1.00	5785
utig4-1894	1.92	7131
utig4-1895	1.00	5202
utig4-1896	16.71	1011471
utig4-1897	19.36	1228989
utig4-1898	2.47	11030
utig4-1899	24.04	200110
utig4-1900	1.00	4164
utig4-1902	4.75	20126
utig4-1903	13.17	17141
utig4-1904	10.34	15694
utig4-1905	14.32	23357
utig4-1906	3.25	16636
utig4-1907	3.17	20085
utig4-1908	2.97	29117
utig4-1909	4.72	26590
utig4-1910	11.21	22365
utig4-1911	3.55	5691
utig4-1912	2.00	7723
utig4-1913	3.70	22966
utig4-1914	2.15	18231
utig4-1915	2.70	11333
utig4-1916	1.85	9684
utig4-1917	4.71	7878
utig4-1919	5.32	46299
utig4-1920	6.08	15655
utig4-1921	8.08	23286
utig4-1922	5.46	37950
utig4-1923	4.26	24545
utig4-1924	5.16	20946
utig4-1925	11.56	22795
utig4-1926	10.49	15863
utig4-1928	2.88	6683
utig4-1929	8.22	14604
utig4-1930	5.61	8224
utig4-1932	7.27	7653
utig4-1933	2.53	14539
utig4-1934	10.29	29911
utig4-1935	2.31	10790
utig4-1936	10.24	11524
utig4-1937	1.00	6982
utig4-1938	2.66	14081
utig4-1939	4.94	8451
utig4-1941	4.23	15402
utig4-1942	7.22	7643
utig4-1943	3.38	24491
utig4-1944	2.00	7743
utig4-1945	8.91	18352
utig4-1946	2.46	11921
utig4-1947	1.91	15932
utig4-1948	2.84	23918
utig4-1949	2.63	33638
utig4-1950	3.94	8341
utig4-1951	5.19	8643
utig4-1952	1.54	5066
utig4-1953	2.25	8869
utig4-1954	1.00	5107
utig4-1955	1.67	7535
utig4-1956	2.53	18089
utig4-1958	13.00	3878
utig4-1959	7.64	4033
utig4-1960	5.33	8297
utig4-1961	3.09	8228
utig4-1962	1.81	5600
utig4-1963	1.51	13171
utig4-1964	7.00	4423
utig4-1965	1.00	7570
utig4-1966	1.88	4036
utig4-1967	3.16	29764
utig4-1968	1.62	3486
utig4-1969	2.68	11673
utig4-1970	2.00	3159
utig4-1971	10.41	3878
utig4-1972	2.00	5617
utig4-1973	2.28	14352
utig4-1974	5.69	6134
utig4-1975	2.00	6401
utig4-1976	3.00	6572
utig4-1977	1.00	7075
utig4-1978	2.87	35294
utig4-1979	3.20	14489
utig4-1980	1.00	7995
utig4-1981	1.90	15347
utig4-1982	4.25	4450
utig4-1983	1.00	3134
utig4-1984	4.45	16825
utig4-1985	3.89	16039
utig4-1986	5.94	5275
utig4-1987	19.00	1
utig4-1988	10.86	4182
utig4-1989	7.50	1917
utig4-1992	5.94	27487
utig4-1993	1.00	5127
utig4-1994	1.00	5710
utig4-1995	1.00	4478
utig4-1996	1.78	11601
utig4-1997	3.49	19619
utig4-1998	4.72	26754
utig4-1999	31.76	65168973
utig4-2000	21.86	3265054
utig4-2001	2.24	24352
utig4-2002	2.76	4834
utig4-2003	4.16	8842
utig4-2004	2.00	5688
utig4-2005	1.83	4433
utig4-2006	1.00	3742
utig4-2007	1.00	7553
utig4-2008	2.00	5570
utig4-2009	1.00	5240
utig4-2010	2.19	5582
utig4-2011	1.50	5628
utig4-2012	6.67	5497
utig4-2013	4.89	7767
utig4-2014	2.00	7780
utig4-2015	1.52	8358
utig4-2016	3.98	12473
utig4-2017	3.25	3540
utig4-2020	1.00	2402
utig4-2021	2.68	14391
utig4-2022	2.97	23548
utig4-2023	1.00	6141
utig4-2024	2.75	2979
utig4-2025	4.29	7322
utig4-2026	4.93	15202
utig4-2027	1.45	4755
utig4-2028	2.86	14166
utig4-2029	3.08	15208
utig4-2030	1.48	11495
utig4-2031	4.03	15301
utig4-2032	2.98	7471
utig4-2033	1.62	22055
utig4-2034	1.29	16251
utig4-2035	1.00	5781
utig4-2036	3.22	7712
utig4-2037	3.35	9950
utig4-2038	1.79	5795
utig4-2042	8.29	35847
utig4-2043	6.50	5232
utig4-2045	25.86	977418
utig4-2046	1.71	5071
utig4-2047	2.00	5986
utig4-2048	2.44	19733
utig4-2049	5.93	5651
utig4-2050	6.42	9028
utig4-2051	2.84	1
utig4-2052	3.65	10406
utig4-2053	10.30	28780
utig4-2055	4.53	6813
utig4-2056	2.00	5920
utig4-2057	2.86	7329
utig4-2058	1.70	8133
utig4-2059	1.90	13194
utig4-2060	13.46	61571
utig4-2061	32.59	81794556
utig4-2062	3.59	6707
utig4-2063	1.93	12288
utig4-2064	1.00	6324
utig4-2065	1.92	6138
utig4-2066	1.50	13831
utig4-2067	1.00	5795
utig4-2069	1.00	6609
utig4-2070	1.00	6310
utig4-2071	3.02	5916
utig4-2072	1.58	5950
utig4-2073	2.02	5705
utig4-2074	1.65	6846
utig4-2075	19.86	2899665
utig4-2077	10.39	15532
utig4-2078	2.13	7225
utig4-2079	3.10	41707
utig4-2080	2.85	6735
utig4-2081	3.61	120
utig4-2082	2.50	17068
utig4-2083	1.69	6637
utig4-2084	3.90	6604
utig4-2085	3.22	13746
utig4-2086	2.77	70465
utig4-2087	1.00	8278
utig4-2088	1.00	8319
utig4-2089	2.57	7329
utig4-2090	3.65	10081
utig4-2091	5.61	7245
utig4-2092	4.00	6673
utig4-2093	1.00	7390
utig4-2094	2.00	7369
utig4-2095	1.00	8010
utig4-2096	3.11	21133
utig4-2097	2.19	17620
utig4-2098	2.56	3717
utig4-2099	1.00	6779
utig4-2100	1.00	7764
utig4-2101	1.84	5556
utig4-2102	1.39	8346
utig4-2103	2.70	7583
utig4-2104	1.47	12824
utig4-2105	1.84	12810
utig4-2106	1.00	3777
utig4-2107	1.00	6262
utig4-2108	1.97	13408
utig4-2109	1.00	8002
utig4-2110	2.74	13760
utig4-2111	59.05	78488
utig4-2112	2.00	3689
utig4-2113	1.00	6100
utig4-2114	2.61	8125
utig4-2116	2.55	4025
utig4-2117	2.22	26926
utig4-2118	2.43	14120
utig4-2119	6.88	13437
utig4-2120	5.74	28780
utig4-2121	1.54	9272
utig4-2122	1.40	4598
utig4-2123	4.00	1954
utig4-2124	4.50	1570
utig4-2125	3.77	12669
utig4-2126	2.54	5164
utig4-2128	4.14	30149
utig4-2129	4.41	20087
utig4-2130	2.89	27559
utig4-2131	7.52	14306
utig4-2132	1.00	7196
utig4-2133	2.50	3012
utig4-2134	1.72	7894
utig4-2135	3.84	6674
utig4-2136	3.10	19984
utig4-2137	2.00	7245
utig4-2138	1.00	8495
utig4-2139	1.00	7352
utig4-2140	2.96	6687
utig4-2141	32.27	61465200
utig4-2142	10.95	115477
utig4-2143	10.32	234083
utig4-2144	2.12	12536
utig4-2145	21.11	37719
utig4-2146	24.62	28294
utig4-2147	26.00	8065295
utig4-2148	1.79	6497
utig4-2149	3.25	14655
utig4-2150	4.45	8441
utig4-2151	5.98	11866
utig4-2152	2.00	9531
utig4-2153	1.00	10328
utig4-2154	1.00	6295
utig4-2155	22.83	1679567
utig4-2156	18.00	794328
utig4-2157	31.89	14282
utig4-2158	19.35	110258
utig4-2159	33.14	37508353
utig4-2160	30.85	1
utig4-2161	23.00	21280
utig4-2162	25.01	1465855
utig4-2163	17.92	88666
utig4-2164	32.67	66793838
utig4-2165	1.00	6900
utig4-2166	1.00	8394
utig4-2167	5.10	208
utig4-2168	1.00	6755
utig4-2169	2.66	7069
utig4-2170	9.00	17545
utig4-2172	1.00	7332
utig4-2173	3.06	5611
utig4-2174	3.50	2160
utig4-2175	2.07	4354
utig4-2176	1.93	17134
utig4-2177	2.34	29977
utig4-2178	3.67	6323
utig4-2179	2.30	16551
utig4-2180	2.20	21788
utig4-2181	274.00	1
utig4-2182	1.00	8415
utig4-2183	3.31	9074
utig4-2184	1.00	8383
utig4-2185	2.48	13344
utig4-2186	1.00	6744
utig4-2187	2.62	8340
utig4-2188	4.41	14419
utig4-2189	1.49	15779
utig4-2190	1.65	11789
utig4-2191	3.50	5503
utig4-2192	6.04	8285
utig4-2193	3.97	7847
utig4-2194	1.00	4708
utig4-2195	14.27	10545
utig4-2196	23.29	246533
utig4-2197	2.97	8523
utig4-2198	2.00	10131
utig4-2199	4.82	9059
utig4-2200	1.00	4543
utig4-2201	1.97	6772
utig4-2202	2.00	7141
utig4-2203	1.00	6789
utig4-2204	3.42	17291
utig4-2205	9.00	9676
utig4-2206	9.34	1
utig4-2207	7.20	10816
utig4-2208	18.00	12726
utig4-2209	2.00	7093
utig4-2210	24.23	1240
utig4-2211	1.64	8215
utig4-2212	1.00	7601
utig4-2213	1.54	8854
utig4-2215	16.50	63488
utig4-2216	31.06	1675080
utig4-2217	24.55	1162452
utig4-2218	3.50	2133
utig4-2219	5.87	19626
utig4-2220	1.00	10655
utig4-2221	1.00	7640
utig4-2222	7.00	1
utig4-2223	2.00	3361
utig4-2224	26.65	8493
utig4-2225	13.94	15903
utig4-2226	21.96	701777
utig4-2227	15.27	8218
utig4-2228	20.33	4580
utig4-2229	1.95	9883
utig4-2230	1.00	6364
utig4-2231	2.73	19338
utig4-2232	13.00	12991
utig4-2233	1.00	7542
utig4-2234	2.08	38007
utig4-2235	3.41	8211
utig4-2236	2.55	7555
utig4-2237	5.79	10235
utig4-2238	1.00	7494
utig4-2239	4.94	13594
utig4-2240	11.00	12883
utig4-2241	4.00	5161
utig4-2242	1.39	6860
utig4-2243	3.47	10999
utig4-2244	2.00	2022
utig4-2245	3.36	7567
utig4-2246	9.67	9199
utig4-2247	1.00	7405
utig4-2248	1.80	7420
utig4-2249	6.56	12116
utig4-2250	12.25	21589
utig4-2251	1.27	7154
utig4-2252	4.33	7558
utig4-2253	3.42	7213
utig4-2254	1.00	9675
utig4-2255	8.01	9177
utig4-2256	13.35	18019
utig4-2257	3.95	17091
utig4-2258	7.00	4407
utig4-2259	16.99	194978
utig4-2260	17.89	18293
utig4-2261	32.94	46341764
utig4-2262	2.05	9440
utig4-2263	1.00	7736
utig4-2264	19.80	13346
utig4-2265	2.31	8071
utig4-2266	4.67	7309
utig4-2267	4.38	25402
utig4-2268	7.13	16155
utig4-2269	8.33	12201
utig4-2270	3.73	11343
utig4-2271	4.04	8799
utig4-2272	6.50	12797
utig4-2273	3.67	2633
utig4-2274	1.00	7924
utig4-2275	1.00	9180
utig4-2276	1.00	8318
utig4-2277	15.20	48304
utig4-2278	20.04	61051
